name,address,phonenumber,email
Zionbim Farminex Ltd,"15 Ajao Road, Off Adeniyi Jones, Ikeja, Lagos Nigeria","0809 809 5242,0802 341 8661",
Yankari Game Reserve,"km-40 Bauchi-Gombe High Way, Mainamaji Village, Bauchi State, Nigeria",0902 733 2226,
Uvisun Global Resource Services,"Engr. (Dr.) Audu Street, Off Shell Road, Sapele, Delta State",0906 910 7668,
TMC DECOR Company,"No 22A Rafiu Shittu Street Alaka Estate, Surulere, Lagos Nigeria",+234 802 586 6037,
Reddi2wear,"10, Islamic Street, Off Abaranje Road, Ikotun, Lagos Nigeria","+234 805 631 7825,+234 802 314 8274,+234 813 547 8808",
Padson Industries Limited,"3 Muritala Mohammed Road, Ilorin, Kwara State Nigeria","0806 244 8454,0806 244 8454",
Neat Zenith Nig ltd,"Road 11, New Road, Shell/location, Ada George Port Harcourt, Rivers State","+2348174125842,8033441468,08174125842",
Manufacturers Association of Nigeria,"77, Obafemi Awolowo Way, Ikeja, Lagos State, Nigeria","+234 1 454 2700,+234 1 454 2701",
Zugys Travel & Tours Limited,"Suite 3 2nd Floor 389 Old Ojo Road Satellite Shopping Complex, Lagos, Lagos Nigeria",0803 392 0768,
Kalek Fibre Company Nigeria Ltd,"No 15 Jessy & Jenny Road Off Peter Odili Road Trans Amadi  Industrial Layout, Port Harcourt, Rivers",+234 805 737 4882,
Youths Empowerment Education Initiative,"ParkVille Centre, Fisrt Avenue, Gwarinpa, Abuja Nigeria","0805 269 8010,0803 890 0153,09 292 1310",
NADMACO Ltd,"306/307 Ahmadu Bello Way, Bonny Cantonment, Victoria Island, Lagos, Nigeria","0813 331 1692,0703 484 0132",
Viridis Fountain Global,"18 Amore Street, Ikeja, Lagos State, Nigeria",0705 222 2216,
The Supreme Court Of Nigeria,"Three Arms Zone Complex, Central District, Abuja FCT","0808 140 3890,09 234 7233,09 234 7238",
Rivers State Judiciary,"High Court Complex, Porthacourt, Nigeria",084 848 605,http://rsjsc.rv.gov.ng/
Blue Towers LP,"No. 96 Norman Williams street, Ikoyi, Lagos",0803 783 0029,
Ogun State Judiciary,"Ogun State Judiciary, Isabo Abeokuta, Nigeria","0706 044 4285,0909 045 2699",https://ogunstatejudiciary.gov.ng/
Ogun State Judicial Service Commission,"2nd Floor, Block B, Parastatal Building, Oke Mosan Abeokuta, Nigeria","0815 677 5846,0803 712 2175",https://www.ogjsc.og.gov.ng/
Lagos State Judiciary,"High Court of Lagos State, (Headquarters) Oba Akinjobi Way, Ikeja, Lagos Nigeria",0704 276 0365,https://lagosjudiciary.gov.ng
Xpertech Solutions,"61, Idimu Road, Beside Primal Tek Plaza, Egbeda, Alimosho, Lagos","08032882047,08097439782",
Wazpper Computer,"No 6 Ibara, Quarry Road, Abeokuta, Ogun State Nigeria",0816 300 2538,
Ultimate Systems Solutions Ltd,"110B, Awolowo Way, Holy Trinity Hospital Annex, Ikeja, Lagos State, Nigeria","0802 335 8188,01 815 8980",
The Justice Research Institute,"Faculty of Law, University of Lagos, Akoka Yaba, Lagos Nigeria",01 279 3453,https://justiceresearchinstitute.org/
